passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount	tpep_pickup_datetime_day	tpep_pickup_datetime_month	tpep_pickup_datetime_year	tpep_pickup_datetime_hour	tpep_pickup_datetime_minute	tpep_dropoff_datetime_day	tpep_dropoff_datetime_month	tpep_dropoff_datetime_year	tpep_dropoff_datetime_hour	tpep_dropoff_datetime_minute
1	4.67	1	N	1	17	0	0.5	3.56	0	0.3	21.36	7	6	2017	7	55	7	6	2017	8	10
1	4.31	1	N	1	17.5	0.5	0.5	3.76	0	0.3	22.56	22	3	2017	22	55	22	3	2017	23	18
1	0.84	1	N	2	6.5	1	0.5	0	0	0.3	8.3	8	6	2017	19	27	8	6	2017	19	34
2	2.34	1	N	1	10.5	0.5	0.5	2.36	0	0.3	14.16	5	10	2017	0	2	5	10	2017	0	13
2	1.04	1	N	2	5	0.5	0.5	0	0	0.3	6.3	19	6	2017	1	3	19	6	2017	1	7
6	2.84	1	N	1	14	0	0.5	2.96	0	0.3	17.76	15	4	2017	12	8	15	4	2017	12	27
2	0.3	1	N	2	4.5	0.5	0.5	0	0	0.3	5.8	31	5	2017	20	58	31	5	2017	21	2
1	3.9	1	N	1	19	0.5	0.5	0	0	0.3	20.3	15	7	2017	22	34	15	7	2017	23	2
1	5.27	1	N	2	22	0	0.5	0	0	0.3	22.8	12	2	2017	15	37	12	2	2017	16	3
1	3.3	1	N	1	13.5	0	0.5	2.85	0	0.3	17.15	20	4	2017	7	13	20	4	2017	7	29
1	16.9	1	N	2	71.5	0	0.5	0	0	0.3	72.3	22	6	2017	14	22	22	6	2017	16	7
1	1.4	1	N	1	6.5	1	0.5	1.65	0	0.3	9.95	16	8	2017	18	31	16	8	2017	18	37
1	18.05	3	N	2	69.5	0.5	0	0	10.5	0.3	80.8	13	6	2017	20	5	13	6	2017	20	42
3	0.47	1	N	1	5	1	0.5	1.36	0	0.3	8.16	13	6	2017	19	4	13	6	2017	19	9
3	2.3	1	N	1	13	0	0.5	2.76	0	0.3	16.56	8	7	2017	14	42	8	7	2017	15	0
1	8.32	1	N	1	25.5	1	0.5	5	5.76	0.3	38.06	27	12	2017	17	40	27	12	2017	18	1
2	0.95	1	N	1	5.5	0.5	0.5	1.02	0	0.3	7.82	3	2	2017	20	40	3	2	2017	20	44
1	0.66	1	N	1	6.5	0.5	0.5	1	0	0.3	8.8	20	1	2017	19	57	20	1	2017	20	5
1	3.8	1	N	1	14.5	0.5	0.5	3.15	0	0.3	18.95	7	6	2017	22	52	7	6	2017	23	7
1	2.4	1	N	1	11	0.5	0.5	3.05	0	0.3	15.35	1	5	2017	22	9	1	5	2017	22	22
2	4.24	1	N	1	22.5	0	0.5	4.66	0	0.3	27.96	15	5	2017	8	22	15	5	2017	8	57
1	1.77	1	N	2	9.5	0	0.5	0	0	0.3	10.3	7	11	2017	7	38	7	11	2017	7	50
1	2.4	1	N	1	15	0.5	0.5	3.25	0	0.3	19.55	31	10	2017	22	24	31	10	2017	22	46
1	2.5	1	N	2	12.5	1	0.5	0	0	0.3	14.3	4	12	2017	17	39	4	12	2017	17	56
3	15.2	1	N	1	42.5	0	0.5	5	0	0.3	48.3	21	8	2017	12	40	21	8	2017	13	12
2	2.5	1	N	1	9.5	0.5	0.5	1.5	0	0.3	12.3	29	5	2017	21	48	29	5	2017	21	57
1	0.99	1	N	1	6	0	0.5	3	0	0.3	9.8	7	9	2017	8	10	7	9	2017	8	15
2	2.2	1	N	1	10.5	1	0.5	1.6	0	0.3	13.9	5	10	2017	18	49	5	10	2017	19	1
2	3.3	1	N	1	22	1	0.5	4.75	0	0.3	28.55	15	9	2017	19	17	15	9	2017	19	54
1	1.13	1	N	2	7	0	0.5	0	0	0.3	7.8	15	4	2017	13	56	15	4	2017	14	3
1	0.43	1	N	1	4	0	0.5	0.96	0	0.3	5.76	5	3	2017	19	53	5	3	2017	19	55
1	1.72	1	N	2	7.5	0	0.5	0	0	0.3	8.3	26	9	2017	11	56	26	9	2017	12	1
1	3.2	1	N	1	16	1	0.5	2	0	0.3	19.8	25	1	2017	18	33	25	1	2017	18	55
6	10.01	1	N	1	29	0	0.5	8.89	5.76	0.3	44.45	13	8	2017	10	1	13	8	2017	10	22
1	0.8	1	N	1	6	1	0.5	2.3	0	0.3	10.1	11	4	2017	16	13	11	4	2017	16	18
1	1.35	1	N	1	6	1	0.5	1	0	0.3	8.8	24	1	2017	18	3	24	1	2017	18	9
5	3.85	1	N	2	21.5	0	0.5	0	0	0.3	22.3	25	2	2017	18	11	25	2	2017	18	45
5	1.6	1	N	2	12.5	0.5	0.5	0	0	0.3	13.8	17	11	2017	22	9	17	11	2017	22	29
1	4.2	1	N	2	21	1	0.5	0	0	0.3	22.8	13	2	2017	16	25	13	2	2017	16	55
1	2.1	1	N	1	8.5	0.5	0.5	1.25	0	0.3	11.05	28	5	2017	21	33	28	5	2017	21	41
1	0.78	1	N	1	13	1	0.5	2.96	0	0.3	17.76	20	7	2017	17	31	20	7	2017	17	52
5	0.74	1	N	1	4.5	0.5	0.5	1.16	0	0.3	6.96	7	7	2017	5	23	7	7	2017	5	26
4	0.99	1	N	1	7	0.5	0.5	1	0	0.3	9.3	30	11	2017	21	6	30	11	2017	21	14
1	1.3	1	N	2	7	0	0.5	0	0	0.3	7.8	5	8	2017	15	32	5	8	2017	15	39
6	2.21	1	N	1	10.5	0	0.5	1.7	0	0.3	13	18	11	2017	10	33	18	11	2017	10	45
3	1.9	1	N	1	12.5	0	0.5	2	0	0.3	15.3	27	1	2017	14	58	27	1	2017	15	15
1	1.32	1	N	1	7	0	0.5	1.1	0	0.3	8.9	24	6	2017	7	2	24	6	2017	7	9
2	0.5	1	N	2	7	0.5	0.5	0	0	0.3	8.3	17	11	2017	20	45	17	11	2017	20	54
1	4.93	1	N	1	20	0	0.5	2	0	0.3	22.8	29	7	2017	13	22	29	7	2017	13	49
1	1.4	1	N	1	7.5	0.5	0.5	1.75	0	0.3	10.55	22	11	2017	1	15	22	11	2017	1	23
1	2.52	1	N	1	18	1	0.5	3.96	0	0.3	23.76	9	6	2017	16	47	9	6	2017	17	14
1	2.69	1	N	2	12	1	0.5	0	0	0.3	13.8	11	4	2017	19	35	11	4	2017	19	51
1	1.5	1	N	1	8.5	0	0.5	1	0	0.3	10.3	5	2	2017	17	46	5	2	2017	17	57
1	1.36	1	N	1	10.5	0	0.5	2.26	0	0.3	13.56	12	10	2017	8	42	12	10	2017	8	57
1	1.52	1	N	1	11.5	0	0.5	2.46	0	0.3	14.76	12	5	2017	8	52	12	5	2017	9	9
1	4.5	1	N	2	14.5	0.5	0.5	0	0	0.3	15.8	23	11	2017	0	31	23	11	2017	0	45
1	13.61	1	N	1	55	0	0.5	11.16	0	0.3	66.96	11	11	2017	13	39	11	11	2017	14	53
3	4.5	1	N	2	19	0	0.5	0	0	0.3	19.8	14	8	2017	12	26	14	8	2017	12	49
1	1.1	1	N	1	7.5	0	0.5	1.65	0	0.3	9.95	13	3	2017	15	40	13	3	2017	15	48
1	1.29	1	N	1	6	0.5	0.5	1.46	0	0.3	8.76	16	7	2017	1	33	16	7	2017	1	38
2	1.54	1	N	2	7.5	1	0.5	0	0	0.3	9.3	1	9	2017	19	3	1	9	2017	19	11
